id_restaurante,nombre,n_resenas,valoracion_google,avg_estrellas_modelo,pct_positivo,pct_neutro,pct_negativo,n_resenas_negativas,n_baja_confianza,estrellas_5,estrellas_4,estrellas_3,estrellas_2,estrellas_1,servicio_menciones,comida_menciones,ambiente_menciones,precio_menciones,velocidad_menciones,ruido_menciones,limpieza_menciones,servicio_pct,comida_pct,ambiente_pct,precio_pct,velocidad_pct,ruido_pct,limpieza_pct,servicio_pos,comida_pos,ambiente_pos,precio_pos,velocidad_pos,ruido_pos,limpieza_pos,servicio_neg,comida_neg,ambiente_neg,precio_neg,velocidad_neg,ruido_neg,limpieza_neg,servicio_avg_stars,comida_avg_stars,ambiente_avg_stars,precio_avg_stars,velocidad_avg_stars,ruido_avg_stars,limpieza_avg_stars,servicio_rep,comida_rep,ambiente_rep,precio_rep,velocidad_rep,ruido_rep,limpieza_rep,top5_platos,personal_destacado,terminos_tfidf
30,Oven Mozzarella Fuencarral,90,4.6,4.644,95.6,0.0,4.4,4,17,68,18,0,2,2,74,69,24,13,11,4,0,82.2,76.7,26.7,14.4,12.2,4.4,0.0,73,65,24,13,11,4,0,1,4,0,0,0,0,0,4.77,4.64,4.79,4.77,4.64,4.75,,True,True,True,True,True,False,False,"pizza(8), risotto(4)","Emilio(10), Abigail(9), Efrain(4)","comida, buena, servicio, lugar, atención"
31,SteakBurger Preciados,90,4.7,4.744,95.6,1.1,3.3,3,13,76,10,1,1,2,69,67,19,8,11,4,2,76.7,74.4,21.1,8.9,12.2,4.4,2.2,65,63,17,6,10,3,2,3,3,1,2,1,0,0,4.7,4.69,4.63,4.12,4.64,4.25,4.5,True,True,True,False,True,False,False,"bonito(4), burger(4)","Laura(16), Lorena(9), Karen(6), Alejandro(5), Marcelo(5)","comida, servicio, excelente, atención, buena"
32,La Bistroteca,90,4.8,4.733,94.4,4.4,1.1,1,13,73,12,4,0,1,68,63,18,14,6,2,1,75.6,70.0,20.0,15.6,6.7,2.2,1.1,67,59,17,10,5,1,1,0,0,0,0,0,0,0,4.84,4.73,4.56,4.29,4.67,3.5,5.0,True,True,True,True,False,False,False,"hamburguesas(19), croquetas(7), postres(5)",,"hamburguesas, servicio, comida, hamburguesa, trato"
33,Meson Restaurante La Mi Venta,90,4.6,4.811,97.8,1.1,1.1,1,9,77,11,1,0,1,82,71,24,13,10,9,1,91.1,78.9,26.7,14.4,11.1,10.0,1.1,80,70,24,12,9,9,1,1,0,0,0,0,0,0,4.79,4.83,4.83,4.69,4.7,4.89,5.0,True,True,True,True,True,False,False,"torrija(9), carne(6), verduras(6), vino(5), croquetas(4)","Aaron(28), René(11), Angie(9), George(6), Alexandra(5)","comida, excelente, servicio, atención, aaron"
34,Malafemmena,90,4.7,4.511,87.8,3.3,8.9,8,14,69,10,3,4,4,72,78,33,17,7,5,0,80.0,86.7,36.7,18.9,7.8,5.6,0.0,66,68,28,16,4,5,0,3,7,3,0,2,0,0,4.67,4.49,4.36,4.71,3.57,4.6,,True,True,True,True,False,False,False,"postre(11), pan(5), pasta(4)","Silvia(7), Erickson(5), Sara(5), Araceli(4)","comida, atención, servicio, buena, ambiente"
35,Steakburger - Luchana,90,4.7,4.722,94.4,1.1,4.4,4,7,78,7,1,0,4,72,55,18,5,6,3,0,80.0,61.1,20.0,5.6,6.7,3.3,0.0,68,53,17,4,4,2,0,3,1,0,0,1,0,0,4.75,4.78,4.72,4.2,4.0,4.33,,True,True,True,False,False,False,False,"carne(10), nachos(3), hamburguesas(3)","Bárbara(12), Irma(10), Myriam(4), Alejandro(4), Miriam(3)","comida, buena, atención, atendió, excelente"
36,Oven - Mozarrella Bar,90,4.7,4.689,94.4,2.2,3.3,3,13,73,12,2,0,3,70,68,24,10,12,6,0,77.8,75.6,26.7,11.1,13.3,6.7,0.0,66,65,23,9,10,6,0,2,1,1,0,1,0,0,4.71,4.74,4.67,4.4,4.17,4.67,,True,True,True,True,True,False,False,"pizza(17), pasta(9), bonito(4)","Carmen(28), Paco(15), Andrea(9), Fabiola(5), Alex(3)","comida, buena, carmen, servicio, atención"
37,El miniBAR,90,4.6,4.4,84.4,4.4,11.1,10,21,67,9,4,3,7,60,67,29,27,11,2,0,66.7,74.4,32.2,30.0,12.2,2.2,0.0,48,59,27,24,8,2,0,9,5,1,1,2,0,0,4.27,4.54,4.62,4.56,4.0,4.5,,True,True,True,True,True,False,False,"queso de cabra(14), bacalao(7), mermelada de tomate(7), pollo(6), vino(6)",,"comida, tapas, madrid, excelente, lugar"
38,Sibuya Urban Sushi Bar - Madrid,90,4.8,4.867,97.8,1.1,1.1,1,11,81,7,1,1,0,73,68,23,19,9,3,2,81.1,75.6,25.6,21.1,10.0,3.3,2.2,71,66,22,18,8,3,2,1,1,0,1,1,0,0,4.85,4.85,4.78,4.74,4.56,4.67,5.0,True,True,True,True,False,False,False,"sushi(19), postre(4)","Sandra(13), Carolina(6), Kriss(6), Guadalupe(5), Luciana(5)","comida, servicio, amable, atención, excelente"
39,Sibuya Urban Sushi Bar,90,4.8,4.778,94.4,2.2,3.3,3,5,80,5,2,1,2,75,72,17,14,6,2,2,83.3,80.0,18.9,15.6,6.7,2.2,2.2,72,67,15,11,5,2,1,2,3,1,1,1,0,0,4.83,4.74,4.65,4.29,4.5,5.0,4.0,True,True,True,True,False,False,False,sushi(4),"José(10), Antonio(8), Robert(5), Jose(4), Vivi(2)","comida, ariel, servicio, atención, excelente"
40,DSTAGE,93,4.6,3.075,43.0,10.8,46.2,43,35,31,9,10,22,21,52,78,25,18,16,5,1,55.9,83.9,26.9,19.4,17.2,5.4,1.1,28,33,13,2,3,3,1,20,38,8,15,10,2,0,3.38,3.06,3.52,2.0,2.5,3.4,5.0,True,True,True,True,True,False,False,"postres(10), carne(10), maíz(8)",Diego(21),"platos, menú, restaurante, experiencia, servicio"
41,Restaurante La Malontina,91,4.6,3.846,65.9,13.2,20.9,19,34,43,17,12,12,7,62,83,36,24,11,7,3,68.1,91.2,39.6,26.4,12.1,7.7,3.3,49,56,26,14,6,4,2,5,16,5,7,4,1,1,4.26,3.93,4.0,3.58,3.64,3.71,4.0,True,True,True,True,True,False,False,"postre(8), almejas(5), salsa(5)",,"comida, platos, pequeño, excelente, restaurante"
42,Vinoteca Moratin,90,4.7,4.556,88.9,6.7,4.4,4,21,67,13,6,1,3,67,76,36,26,8,5,0,74.4,84.4,40.0,28.9,8.9,5.6,0.0,61,70,33,23,6,4,0,1,2,0,1,0,0,0,4.64,4.64,4.67,4.38,4.5,4.6,,True,True,True,True,False,False,False,"carta de vinos(10), canelones(8), postre(7), salmón marinado(5)","Marcos(13), Víctor(7)","comida, restaurante, vinos, servicio, carta"
43,Burnout,93,4.7,4.462,89.2,4.3,6.5,6,22,63,20,4,2,4,57,56,19,17,9,1,1,61.3,60.2,20.4,18.3,9.7,1.1,1.1,51,52,19,14,8,1,1,2,2,0,1,1,0,0,4.58,4.57,4.79,4.29,4.56,5.0,5.0,True,True,True,True,False,False,False,"nachos(12), pan(8), tarta(6), entrantes(6), patatas fritas(5)",,"hamburguesas, buena, hamburguesa, comida, carne"
44,Metro Bistró - Plaza Mayor,90,4.6,4.578,90.0,2.2,7.8,7,20,73,8,2,2,5,67,76,19,28,5,3,1,74.4,84.4,21.1,31.1,5.6,3.3,1.1,60,68,15,25,5,3,1,5,6,3,1,0,0,0,4.57,4.61,4.21,4.61,4.8,5.0,5.0,True,True,True,True,False,False,False,"croquetas(13), postre(8), bacalao(6), carne(5), pez mantequilla(5)",,"comida, platos, servicio, atención, calidad"
45,El Sueño De Carmen,90,4.9,4.756,95.6,1.1,3.3,3,12,76,10,1,2,1,73,74,19,11,5,5,2,81.1,82.2,21.1,12.2,5.6,5.6,2.2,72,71,17,9,4,4,2,1,3,1,2,1,0,0,4.84,4.74,4.42,4.27,4.4,4.6,5.0,True,True,True,True,False,False,False,"postre(6), tarta de queso(5), croquetas de pulpo(5), patatas(4), alcachofas(4)","Óscar(6), Gabriel(6), Carmen(5), Oscar(4), Andrea(4)","comida, servicio, buena, calidad, excelente"
46,Sibuya Urban Sushi Bar Chueca,90,4.7,4.889,97.8,0.0,2.2,2,5,86,2,0,0,2,69,75,11,16,7,3,2,76.7,83.3,12.2,17.8,7.8,3.3,2.2,69,74,11,16,6,3,2,0,1,0,0,1,0,0,4.97,4.92,5.0,4.94,4.29,5.0,5.0,True,True,True,True,False,False,False,,"Justin(22), Betsi(13), Patricia(12), Estefanía(8), Lucia(7)","comida, atención, atendió, justin, excelente"
47,El Social,91,4.8,4.593,90.1,3.3,6.6,6,20,73,9,3,2,4,64,77,34,19,5,4,2,70.3,84.6,37.4,20.9,5.5,4.4,2.2,58,70,31,16,4,4,2,4,4,3,1,1,0,0,4.61,4.62,4.5,4.63,4.0,4.75,5.0,True,True,True,True,False,False,False,"entrada(13), postre(11), helado(5), ají de gallina(5)",,"comida, excelente, servicio, madrid, lugar"
48,Alright,90,4.6,4.122,74.4,7.8,17.8,16,22,58,9,7,8,8,61,77,14,26,9,2,2,67.8,85.6,15.6,28.9,10.0,2.2,2.2,44,56,10,19,5,1,2,12,14,2,4,2,0,0,4.03,4.1,4.07,4.04,3.78,4.0,4.5,True,True,True,True,False,False,False,"tarta de queso(11), postres(9), hamburguesa(8)",,"comida, calidad, carta, costillas, platos"
