id_restaurante,nombre,direccion,n_resenas,valoracion_google,avg_estrellas_modelo,pct_positivo,pct_neutro,pct_negativo,n_resenas_negativas,n_baja_confianza,estrellas_5,estrellas_4,estrellas_3,estrellas_2,estrellas_1,servicio_menciones,comida_menciones,ambiente_menciones,precio_menciones,velocidad_menciones,ruido_menciones,limpieza_menciones,ninos_menciones,mascotas_menciones,terraza_menciones,vistas_menciones,musica_directo_menciones,romantico_menciones,servicio_pct,comida_pct,ambiente_pct,precio_pct,velocidad_pct,ruido_pct,limpieza_pct,ninos_pct,mascotas_pct,terraza_pct,vistas_pct,musica_directo_pct,romantico_pct,servicio_pos,comida_pos,ambiente_pos,precio_pos,velocidad_pos,ruido_pos,limpieza_pos,ninos_pos,mascotas_pos,terraza_pos,vistas_pos,musica_directo_pos,romantico_pos,servicio_neg,comida_neg,ambiente_neg,precio_neg,velocidad_neg,ruido_neg,limpieza_neg,ninos_neg,mascotas_neg,terraza_neg,vistas_neg,musica_directo_neg,romantico_neg,servicio_avg_stars,comida_avg_stars,ambiente_avg_stars,precio_avg_stars,velocidad_avg_stars,ruido_avg_stars,limpieza_avg_stars,ninos_avg_stars,mascotas_avg_stars,terraza_avg_stars,vistas_avg_stars,musica_directo_avg_stars,romantico_avg_stars,servicio_rep,comida_rep,ambiente_rep,precio_rep,velocidad_rep,ruido_rep,limpieza_rep,ninos_rep,mascotas_rep,terraza_rep,vistas_rep,musica_directo_rep,romantico_rep,criterio_ninos,criterio_mascotas,criterio_terraza,criterio_vistas,criterio_musica_directo,criterio_romantico,top5_platos,todos_platos,personal_destacado,terminos_tfidf
19,Trattoria Pulcinella,"Calle regueros, 7",96,4.7,4.292,81.2,7.3,11.5,11,20,67,11,7,1,10,63,63,26,14,13,2,0,11,18,1,2,0,12,65.6,65.6,27.1,14.6,13.5,2.1,0.0,11.5,18.8,1.0,2.1,0.0,12.5,56,55,21,8,8,1,0,10,15,0,1,0,12,2,2,1,2,3,0,0,1,0,1,0,0,0,4.6,4.54,4.35,3.79,3.69,4.0,,4.64,4.44,2.0,4.0,,4.75,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,"pasta(12), carbonara(5), lasaña(4), tiramisú(4), tagliatelle(3)","pasta(12), carbonara(5), lasaña(4), tiramisú(4), tagliatelle(3), solomillo(2), risotto(2), bruschetta(1), lomo(1), almejas(1), helado(1), salmón(1), espaguetis(1)",,"comida, servicio, atención, excelente, claudia"
20,Oven Mozzarella Atocha | Italiano Madrid,"Calle Atocha, 114",90,4.7,4.389,85.6,2.2,12.2,11,17,66,11,2,4,7,69,71,21,14,12,3,3,4,17,0,0,0,4,76.7,78.9,23.3,15.6,13.3,3.3,3.3,4.4,18.9,0.0,0.0,0.0,4.4,65,59,16,10,11,3,3,4,14,0,0,0,3,3,11,3,3,1,0,0,0,3,0,0,0,1,4.7,4.28,4.0,3.93,4.58,4.0,5.0,5.0,4.35,,,,3.75,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"pasta(6), focaccia(2), carbonara(2), risotto(2), espaguetis sabía(2)","pasta(6), focaccia(2), carbonara(2), risotto(2), espaguetis sabía(2), arroz(1), jamón(1), mousse(1)",,"comida, servicio, atención, excelente, buena"
21,Mu! El Placer De La Carne,"Calle chinchilla, 3",95,4.7,4.253,83.2,1.1,15.8,15,14,66,13,1,4,11,63,74,13,47,4,1,1,6,14,2,0,0,2,66.3,77.9,13.7,49.5,4.2,1.1,1.1,6.3,14.7,2.1,0.0,0.0,2.1,59,64,12,44,3,1,1,6,14,0,0,0,2,4,10,1,2,1,0,0,0,0,2,0,0,0,4.63,4.38,4.54,4.66,4.25,4.0,5.0,4.83,4.71,2.0,,,4.0,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"papas fritas(3), flan(2), arroz(2), chorizo morcilla(2), entraña vacío(2)","papas fritas(3), flan(2), arroz(2), chorizo morcilla(2), entraña vacío(2)",,"comida, carne, precio, excelente, atención"
22,Restaurante Dcorazon,"Plaza Mayor, 30",90,4.7,3.9,71.1,6.7,22.2,20,18,52,12,6,5,15,65,69,25,16,13,4,1,6,12,10,3,0,8,72.2,76.7,27.8,17.8,14.4,4.4,1.1,6.7,13.3,11.1,3.3,0.0,8.9,50,51,21,8,5,3,1,5,9,10,2,0,7,13,13,1,7,7,0,0,1,3,0,1,0,1,4.09,3.99,4.48,3.0,2.69,4.5,5.0,4.17,3.92,4.9,3.67,,4.12,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,"atún(3), sangría(3), espaguetis(2), calamares(2), gambas(2)","atún(3), sangría(3), espaguetis(2), calamares(2), gambas(2), solomillo(2), tarta(1), mojo(1), ensaladilla(1), burrito(1), salmon(1), helado(1), brownie(1), risotto(1), berenjenas(1)",,"comida, servicio, buena, excelente, atención"
23,SteakBurger Gran Vía 55,"Calle Gran Vía, 55",93,4.8,4.237,80.6,2.2,17.2,16,18,66,9,2,6,10,72,62,23,14,8,2,1,7,20,2,0,0,9,77.4,66.7,24.7,15.1,8.6,2.2,1.1,7.5,21.5,2.2,0.0,0.0,9.7,61,54,20,9,5,1,1,5,17,0,0,0,8,10,7,3,4,3,1,0,2,3,2,0,0,1,4.36,4.45,4.35,3.64,3.5,3.5,5.0,3.86,4.4,1.5,,,4.44,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"nachos(6), filete(5), sangría(1)","nachos(6), filete(5), sangría(1)",,"comida, servicio, buena, amable, excelente"
24,Rosi La Loca,"Calle de Cádiz, 4",93,4.6,4.677,92.5,1.1,6.5,6,6,82,4,1,0,6,62,58,25,5,5,1,0,6,26,2,0,1,7,66.7,62.4,26.9,5.4,5.4,1.1,0.0,6.5,28.0,2.2,0.0,1.1,7.5,59,55,25,4,5,1,0,5,25,1,0,1,7,2,2,0,1,0,0,0,0,1,1,0,0,0,4.79,4.78,4.92,4.0,5.0,5.0,,4.67,4.77,3.0,,5.0,4.86,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"tortilla(2), zamburiñas(2), helado(1), atún(1), pasta(1)","tortilla(2), zamburiñas(2), helado(1), atún(1), pasta(1), croquetas(1), tacos(1), tiramisú(1)",,"comida, servicio, lugar, gracias, excelente"
25,Oven Mozzarella Gran Via 55,"Calle Gran Vía, 55",93,4.7,3.806,67.7,5.4,26.9,25,15,55,8,5,7,18,69,66,24,18,14,2,0,8,24,2,2,1,4,74.2,71.0,25.8,19.4,15.1,2.2,0.0,8.6,25.8,2.2,2.2,1.1,4.3,52,47,18,7,6,2,0,7,17,1,0,0,4,14,15,4,8,7,0,0,1,5,1,1,1,0,4.07,3.97,4.17,2.94,2.71,5.0,,4.38,4.0,3.0,2.0,1.0,5.0,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"pasta(9), lasaña(3), sangría(3), focaccia(2), carbonara(2)","pasta(9), lasaña(3), sangría(3), focaccia(2), carbonara(2), tiramisú(1), espaguetis(1), albóndigas(1)",,"comida, servicio, amable, lugar, excelente"
26,Oven Mozzarella Gran Vía 6,"Calle Gran Vía, 6",90,4.6,4.144,75.6,5.6,18.9,17,15,63,5,5,6,11,74,66,19,13,19,0,2,6,23,3,0,1,10,82.2,73.3,21.1,14.4,21.1,0.0,2.2,6.7,25.6,3.3,0.0,1.1,11.1,57,54,17,9,15,0,1,3,20,3,0,1,6,13,8,0,3,3,0,1,2,2,0,0,0,3,4.22,4.41,4.74,4.15,4.21,,3.5,3.33,4.52,5.0,,5.0,3.8,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"pasta(11), carbonara(2), lasaña(2), mojito(1), tiramisú(1)","pasta(11), carbonara(2), lasaña(2), mojito(1), tiramisú(1), helado(1), sangría(1), risotto(1), berenjenas(1)",,"comida, servicio, buena, restaurante, pizza"
27,Pizzart Villa Luchana | Pizzeria Madrid,"Calle de luchana, 17",90,4.9,4.656,93.3,2.2,4.4,4,11,71,13,2,2,2,66,56,19,14,11,4,3,7,24,6,0,0,11,73.3,62.2,21.1,15.6,12.2,4.4,3.3,7.8,26.7,6.7,0.0,0.0,12.2,64,52,16,13,10,3,3,6,22,4,0,0,10,1,2,2,0,0,0,0,1,1,0,0,0,0,4.74,4.66,4.37,4.57,4.64,4.5,5.0,4.43,4.62,4.17,,,4.73,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"tiramisu(8), lasaña(6), pasta(3), focaccia(2), margarita(1)","tiramisu(8), lasaña(6), pasta(3), focaccia(2), margarita(1), helado(1), carbonara(1)",,"comida, pizza, buena, pizzas, atención"
28,GastroVía 61,"Calle Flor baja, 3",90,4.7,4.8,93.3,6.7,0.0,0,9,78,6,6,0,0,76,76,20,15,4,5,2,6,17,4,1,1,22,84.4,84.4,22.2,16.7,4.4,5.6,2.2,6.7,18.9,4.4,1.1,1.1,24.4,72,70,19,10,3,5,1,6,17,4,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,4.8,4.85,4.27,4.25,4.8,4.0,5.0,4.94,4.75,5.0,5.0,4.91,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"croquetas(3), pulpo(3), paella(3), entrecot(2), cachopo(2)","croquetas(3), pulpo(3), paella(3), entrecot(2), cachopo(2), jamón(2), mejillones(2), rodaballo(2), arroz(2), solomillo(2), fabada(2), tarta(1), secreto(1), gazpacho(1), gambas(1)",,"comida, servicio, atención, excelente, personal"
29,Taberna de Peñalver,"Calle del conde Peñalver, 90",90,4.7,4.144,78.9,2.2,18.9,17,10,61,10,2,5,12,69,66,14,14,10,0,1,5,20,13,0,0,13,76.7,73.3,15.6,15.6,11.1,0.0,1.1,5.6,22.2,14.4,0.0,0.0,14.4,58,49,12,8,7,0,1,4,16,10,0,0,7,9,15,2,5,3,0,0,1,3,2,0,0,6,4.33,3.95,4.29,3.21,3.7,,5.0,4.0,4.1,4.08,,,3.15,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,"pulpo(10), croquetas(4), jamón(2), lubina(2), gambas(2)","pulpo(10), croquetas(4), jamón(2), lubina(2), gambas(2), helado(2), arroz negro(2), arroz señoret(2), chipirones(1), sangría(1), solomillo(1), fideuá(1), rabo(1), bogavante(1), ensaladilla(1)",,"paella, comida, excelente, servicio, atención"
30,Oven Mozzarella Fuencarral,"Calle Fuencarral, 74",90,4.6,4.644,95.6,0.0,4.4,4,17,68,18,0,2,2,74,69,24,13,11,4,0,8,25,0,0,0,14,82.2,76.7,26.7,14.4,12.2,4.4,0.0,8.9,27.8,0.0,0.0,0.0,15.6,73,65,24,13,11,4,0,8,24,0,0,0,14,1,4,0,0,0,0,0,0,1,0,0,0,0,4.77,4.64,4.79,4.77,4.64,4.75,,4.88,4.72,,,,4.71,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"risotto(4), tiramisú(3), tagliatelle(2), sangría(2), pasta carbonara(2)","risotto(4), tiramisú(3), tagliatelle(2), sangría(2), pasta carbonara(2), tarta(1), mojito(1), focaccia(1)",,"comida, buena, servicio, lugar, atención"
31,SteakBurger Preciados,"Calle Preciados, 42",90,4.7,4.744,95.6,1.1,3.3,3,13,76,10,1,1,2,69,67,19,8,11,4,2,5,19,3,0,0,9,76.7,74.4,21.1,8.9,12.2,4.4,2.2,5.6,21.1,3.3,0.0,0.0,10.0,65,63,17,6,10,3,2,5,19,3,0,0,8,3,3,1,2,1,0,0,0,0,0,0,0,0,4.7,4.69,4.63,4.12,4.64,4.25,4.5,5.0,4.84,5.0,,,4.78,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"sangría(2), filete(2), papas fritas(2), pimientos(1), helado(1)","sangría(2), filete(2), papas fritas(2), pimientos(1), helado(1), croquetas(1), jamón(1), empanadas(1)",,"comida, servicio, excelente, atención, buena"
32,La Bistroteca,"Calle Espartinas, 7",90,4.8,4.733,94.4,4.4,1.1,1,13,73,12,4,0,1,68,63,18,14,6,2,1,6,32,2,1,1,11,75.6,70.0,20.0,15.6,6.7,2.2,1.1,6.7,35.6,2.2,1.1,1.1,12.2,67,59,17,10,5,1,1,6,30,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,4.73,4.56,4.29,4.67,3.5,5.0,5.0,4.75,5.0,5.0,4.0,4.73,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"guacamole(17), croquetas(7), ensaladilla rusa(2), marmitako(1), tequeños(1)","guacamole(17), croquetas(7), ensaladilla rusa(2), marmitako(1), tequeños(1), mousse(1)",,"hamburguesas, servicio, comida, hamburguesa, trato"
33,Meson Restaurante La Mi Venta,"Plaza marina española, 7",90,4.6,4.811,97.8,1.1,1.1,1,9,77,11,1,0,1,82,71,24,13,10,9,1,8,14,8,0,0,25,91.1,78.9,26.7,14.4,11.1,10.0,1.1,8.9,15.6,8.9,0.0,0.0,27.8,80,70,24,12,9,9,1,7,14,8,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,4.79,4.83,4.83,4.69,4.7,4.89,5.0,4.5,4.93,4.62,,,4.8,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"croquetas(4), morcilla(4), chipirones(3), entrecot(3), jamón ibérico(3)","croquetas(4), morcilla(4), chipirones(3), entrecot(3), jamón ibérico(3), sangría(2), bacalao(2), paella(2), chuletón(2), helado(2), salmorejo(2), merluza(2), secreto ibérico(2), cochinillo(1), callos(1)",,"comida, excelente, servicio, atención, aaron"
34,Malafemmena,"Calle del doctor Esquerdo, 13",90,4.7,4.511,87.8,3.3,8.9,8,14,69,10,3,4,4,72,78,33,17,7,5,0,7,27,9,1,0,19,80.0,86.7,36.7,18.9,7.8,5.6,0.0,7.8,30.0,10.0,1.1,0.0,21.1,66,68,28,16,4,5,0,7,26,7,1,0,16,3,7,3,0,2,0,0,0,1,1,0,0,3,4.67,4.49,4.36,4.71,3.57,4.6,,4.71,4.85,4.22,5.0,,4.42,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"tiramisú(4), carbonara(3), risotto(3), lasaña(2), pasta rellena(2)","tiramisú(4), carbonara(3), risotto(3), lasaña(2), pasta rellena(2), vitello tonnato(2), solomillo(1), espaguetis(1), arroz(1), jamón(1), penne(1)",,"comida, atención, servicio, buena, ambiente"
35,Steakburger - Luchana,"Calle Luchana, 17",90,4.7,4.722,94.4,1.1,4.4,4,7,78,7,1,0,4,72,55,18,5,6,3,0,4,18,2,0,0,3,80.0,61.1,20.0,5.6,6.7,3.3,0.0,4.4,20.0,2.2,0.0,0.0,3.3,68,53,17,4,4,2,0,4,16,1,0,0,3,3,1,0,0,1,0,0,0,1,1,0,0,0,4.75,4.78,4.72,4.2,4.0,4.33,,5.0,4.56,3.0,,,4.67,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"nachos(3), tarta(1)","nachos(3), tarta(1)",,"comida, buena, atención, atendió, excelente"
36,Oven - Mozarrella Bar,"Calle San Juan de Ortega, 26",90,4.7,4.689,94.4,2.2,3.3,3,13,73,12,2,0,3,70,68,24,10,12,6,0,7,20,2,0,0,10,77.8,75.6,26.7,11.1,13.3,6.7,0.0,7.8,22.2,2.2,0.0,0.0,11.1,66,65,23,9,10,6,0,7,20,2,0,0,9,2,1,1,0,1,0,0,0,0,0,0,0,0,4.71,4.74,4.67,4.4,4.17,4.67,,4.71,4.95,5.0,,,4.7,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"pasta(9), tiramisú(3), jamón(2), risotto(1), tarta(1)","pasta(9), tiramisú(3), jamón(2), risotto(1), tarta(1), helado(1), carbonara(1)",,"comida, buena, carmen, servicio, atención"
37,El miniBAR,"Mesón de Paños, 1",90,4.6,4.4,84.4,4.4,11.1,10,21,67,9,4,3,7,60,67,29,27,11,2,0,7,29,4,0,0,10,66.7,74.4,32.2,30.0,12.2,2.2,0.0,7.8,32.2,4.4,0.0,0.0,11.1,48,59,27,24,8,2,0,6,28,4,0,0,7,9,5,1,1,2,0,0,1,1,0,0,0,3,4.27,4.54,4.62,4.56,4.0,4.5,,4.29,4.79,5.0,,,3.8,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"bacalao(7), atún(4), sangria(4), calamares(3), fajitas(2)","bacalao(7), atún(4), sangria(4), calamares(3), fajitas(2), patatas bravas(2), salmorejo(1), tarta(1), brownie(1), jamón(1), pulpo(1), churros(1), guacamole(1), tacos(1)",,"comida, tapas, madrid, excelente, lugar"
